laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight,gpu_brand,cpu_gpu_combination
145046,DELL,Inspiron 3593,,,,Linux,Both,Intel UHD Graphics,GeForce MX230,Intel,Core i5,1.0,4,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.9,NVIDIA,Intel + NVIDIA
144856,DELL,XPS 13,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i5,1.6,8,SSD,0.0,256.0,13.3,1920 x 1080,Full HD,1.2,Intel,Intel + Intel
144789,DELL,XPS 13,,,,Windows 10 Home (x64),Integrated,Intel Iris Plus,No,Intel,Core i7,1.3,16,SSD,0.0,512.0,13.4,1920 x 1200,WUXGA,1.3,Intel,Intel + Intel
144787,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel Iris Plus,No,Intel,Core i7,1.3,16,SSD,0.0,512.0,13.4,3840 x 2400,Ultra HD+,1.3,Intel,Intel + Intel
144788,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel Iris Plus,No,Intel,Core i7,1.3,16,SSD,0.0,512.0,13.4,3840 x 2400,Ultra HD+,1.3,Intel,Intel + Intel
144790,DELL,XPS 13,,,,Windows 10 Home (x64) SL,Integrated,Intel UHD Graphics,No,Intel,Core i7,1.8,16,SSD,0.0,1024.0,13.3,3840 x 2160,Ultra HD 4K,1.2,Intel,Intel + Intel
144786,DELL,XPS 13,,,,Windows 10 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i7,1.8,16,SSD,0.0,512.0,13.3,1920 x 1080,Full HD,1.2,Intel,Intel + Intel
144785,DELL,Inspiron G7-7790,,,,Windows 10 Home (x64) SL,Both,Intel UHD Graphics 630,GeForce GTX 1660 Ti,Intel,Core i5,2.4,8,SSD,0.0,512.0,17.3,1920 x 1080,Full HD,3.1,NVIDIA,Intel + NVIDIA
140274,HP,Gaming Pavilion 15-cx0093ur (5GT63EA,,,,DOS,Both,Intel UHD Graphics 630,GeForce GTX 1060,Intel,Core i5,2.3,8,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.3,NVIDIA,Intel + NVIDIA
140272,HP,Pavilion 15-bc446ur (4RQ68EA,,,,DOS,Both,Intel UHD Graphics 620,GeForce GTX 1050,Intel,Core i7,1.8,8,SHDD,1024.0,128.0,15.6,1920 x 1080,Full HD,2.1,NVIDIA,Intel + NVIDIA
144426,HP,Gaming Pavilion 15-ec0013ur,,,,DOS,Both,AMD Radeon Vega 8,GeForce GTX 1650,AMD,Ryzen 5,2.1,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.0,NVIDIA,AMD + NVIDIA
144451,Acer,Nitro 5 AN515-43,,,,Linux,Both,AMD Radeon Vega 8,Radeon RX560X,AMD,Ryzen 5,2.1,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.2,AMD,AMD + AMD
