laptop_id,image_link
178419,//static.shop.kz/upload/iblock/e32/mamatt1vr905dh5xckvt12r9ggtkikvf/178419o200o.JPG
178417,//static.shop.kz/upload/iblock/5ec/b4lb35fxot3c5khd0v6txr09bo4qke55/178417o200o.jpg
178418,//static.shop.kz/upload/iblock/94c/l3xz469zndx7b4u1kwc3wjf3jgw1ca2r/178418o200o.JPG
178127,//static.shop.kz/upload/iblock/39c/b1mcxclu7fw36v94q201j1cf16ohck23/178137o200o.jpg
178128,//static.shop.kz/upload/iblock/eb8/luw0fwkniwcq35v0b2qbpshn4vs8jp54/178128o200o.jpg
178138,//static.shop.kz/upload/iblock/8b5/px01sm3r0tjq5vl2hqr86m1raf04iuuk/178138o200o.jpg
178144,//static.shop.kz/upload/iblock/ebc/a16z8ska1t3kgyxnp0o8px3cvk5b8h7k/178144o200o.jpg
178142,//static.shop.kz/upload/iblock/ab9/4b23mksrw1ambwpz46qonnb7q61pa5by/178142o200o.jpg
178137,//static.shop.kz/upload/iblock/21e/eka1kutt0rfw8fgobg1293n3ac8e358x/178137o200.jpg
178141,//static.shop.kz/upload/iblock/5e2/xqfk7rhcza3sm97654tpv9zgk0ga6rr9/178141o200o.jpg
178145,//static.shop.kz/upload/iblock/275/yp729s3p9g3pz9h926gzjgf3mj1385e9/178145o200o.jpg
178146,//static.shop.kz/upload/iblock/8d3/dk8ogkgqp7e5009hkz3gtn5bnihbe469/178146o200.jpg
178147,//static.shop.kz/upload/iblock/d04/lz5ex0qzg06ziqk99qnbsrcnnlg95jlf/178147o200.jpg
178148,//static.shop.kz/upload/iblock/f18/5e2u719mx3z4l69sgqzu8aegfqq51kt3/178148o200.jpg
177958,//static.shop.kz/upload/iblock/ce1/e1gwfb7gemy9vw7j48ht2ie811uwcadf/177958o200.JPG
178028,//static.shop.kz/upload/iblock/8f5/gucdhahszgdfixnzc6lgcn5x3z20uvvh/178029o200o.jpg
178031,//static.shop.kz/upload/iblock/d7c/lw4597r83gkdvok988kyvl2hjjqcedm5/178031o200o.jpg
178016,//static.shop.kz/upload/iblock/2a8/323iuzcc299d4r5pbprk167qu6sq35qn/178016o200o.jpg
178029,//static.shop.kz/upload/iblock/d81/4nstcq5rc99sbmupvm0ishj2hwz9j4nk/178029o200o.JPG
178030,//static.shop.kz/upload/iblock/c7c/6o047x93jf921c95t65749c2bjvnhgx1/178030o200o.jpg
177923,//static.shop.kz/upload/iblock/adb/6ssaz9kmsnbnt4wi82o4632hg2sco11a/177923o200o.JPG
177924,//static.shop.kz/upload/iblock/1ab/ed42nej1qnr4htdx6pa2cepjlykbjqpo/177924o200o.jpg
177928,//static.shop.kz/upload/iblock/338/2g6fybgz2dcttffm8i0hznqp0heqsp5l/177928o200o.JPG
177929,//static.shop.kz/upload/iblock/c8d/y00npb0my4jh5omc86cw4i4enqiu8urr/177929o200o.jpg
177922,//static.shop.kz/upload/iblock/ae2/nh2dz5xp8lgl210qhs95phaw314gs6hg/177922a1.jpg
177927,//static.shop.kz/upload/iblock/fde/kekdr4em0dc143toc4ulib7urt3hryqu/177927o200.jpg
177926,//static.shop.kz/upload/iblock/ebb/e0oher0bdvrbsec7vykkaxko66hqi6b2/177926o200o.JPG
177925,//static.shop.kz/upload/iblock/2e2/caadxvtxl0irmmt05j1nr58svg62rir9/177925o200o.JPG
177798,//static.shop.kz/upload/iblock/f04/12pumf40mwvd7442z5awls44xljq3pqs/177798x1.jpg
177797,//static.shop.kz/upload/iblock/2bb/er283qg0oo3moy2hghsu8lkiq1vrrliq/177797x1.jpg
177800,//static.shop.kz/upload/iblock/9cb/67e3ubotcx7nr4fgsnzg5zqeefwnkgtt/177800x1.jpg
177801,//static.shop.kz/upload/iblock/9bd/o64r2vtk7bsnx62yt51km7b5vmwwz9us/177801x1.jpg
177698,//static.shop.kz/upload/iblock/814/a0k6nqbsq0tpkjxmm92el2at22lm30fo/177698x1.JPG
177699,//static.shop.kz/upload/iblock/653/xw2eq8gtz6you1gvmocu4jmw482hwvyr/177699x1.jpg
177690,//static.shop.kz/upload/iblock/412/ykvi3o5f91ckaq36qeerug2uilkf0h8c/177689o200o.jpg
177689,//static.shop.kz/upload/iblock/9bd/e3cbvzxl7rpmt3v7g7dub16grd4wfy4k/177689o200o.jpg
177691,//static.shop.kz/upload/iblock/8be/pfhnb61phzd15bhajvsh09smfdpkfqqt/177691o200o.jpg
177692,//static.shop.kz/upload/iblock/78f/398sp9vgwcaicgwhc1apk44ldjtt64vu/177692o200o.jpg
177693,//static.shop.kz/upload/iblock/540/xr7se7x9s3flzc4dv6202fg6svtedimo/177693o200o.jpg
177695,//static.shop.kz/upload/iblock/fc0/zn3tg7hql0v87qdle0nkj91q17uloyb3/177695o200o.jpg
177677,//static.shop.kz/upload/iblock/9aa/ulskxod0w4s08xj1ude2skn2jt2dj66i/177677o22.jpg
177680,//static.shop.kz/upload/iblock/48f/hytn38qyh4u7avwnj2mjf36l018y0jhu/177680x2.jpg
177685,//static.shop.kz/upload/iblock/987/y2181exioel2yhee1abnj4vt60ztsg58/177685x2.jpg
177682,//static.shop.kz/upload/iblock/737/rbkewf9hie7eszm55f9w1es46wfx3uaq/177682x2.jpg
177683,//static.shop.kz/upload/iblock/a3f/3mrdris8xqtgctpdljevfbtov1exb73k/177683x1.jpg
177679,//static.shop.kz/upload/iblock/a6b/2jtqqe7v4yjsejn0iijh3tgu1ex2bbn3/177679x1.jpg
177684,//static.shop.kz/upload/iblock/f1f/du2cqbt62n6xxxr4c129u7hedeb2xrqg/177684x1.jpg
177676,//static.shop.kz/upload/iblock/2e4/2x0oulso7w2o893k2520np7xgtzx8mxh/177676o2.jpg
177678,//static.shop.kz/upload/iblock/870/4q14p3982q4kntogs4jnkzz6rqd3rquk/177678o200o.jpg
177681,//static.shop.kz/upload/iblock/f99/fzesvz0jwgu98eiz650nt209joun3qru/177681x1.jpg
177686,//static.shop.kz/upload/iblock/ff8/g2kprewsogw98k9gxan3718ub76j89xq/177686o200o.jpg
177700,//static.shop.kz/upload/iblock/d48/zte5e0r1eyf3k8jot17yoslolegtjbbi/177700x1.jpg
177634,//static.shop.kz/upload/iblock/362/4mpf8cbyqotlnpj1eq5uotqoemvdk2xp/177634x1.JPG
177643,//static.shop.kz/upload/iblock/782/hjmdu264z0rcq5v6lqaqncbcxf5xjh8o/177643x3.jpg
177638,//static.shop.kz/upload/iblock/078/1zaeuhevn7ju5rzf3z25oiq0zwo33nsl/177638x2.jpg
177637,//static.shop.kz/upload/iblock/d9d/813frblqvndqcv02l26hxhh8a458i5ic/177637x2.jpg
177688,//static.shop.kz/upload/iblock/053/unzcxr13inikwnx2sl4nw7qhv5oqj8e4/1776788_V15-G3-IAP_01_1.jpg
177636,//static.shop.kz/upload/iblock/6c6/cn1t79bzbxiy70avlfzplgxctmy3df1a/177636x2.jpg
177635,//static.shop.kz/upload/iblock/fb8/x0xar7kcrt3hizkgadtcpqpaq3upcjwz/177635x2.jpg
177641,//static.shop.kz/upload/iblock/bf3/j12vsn2x8cslt3vu7zrfftgfc9izct6y/177641x1.jpg
177640,//static.shop.kz/upload/iblock/b6d/wx3i6m52s420w9qs8jbutdch8x7t69vu/177640x1.jpg
177639,//static.shop.kz/upload/iblock/25b/0ap3r11a0ibgkx51h365w1dyyo2gonwe/177639x1.jpg
177560,//static.shop.kz/upload/iblock/9e9/gvfb6y52s4tcq5dpsn27e7s12ov5l1nc/177560x1.jpg
177558,//static.shop.kz/upload/iblock/1c8/tzdxspocxhr88suv1c94jfhdwmdv1v3i/177558x1.jpg
177561,//static.shop.kz/upload/iblock/2b2/kp2d886zgzoptv8kwbdjln2ju0mvq605/177561x1.JPG
177559,//static.shop.kz/upload/iblock/188/o9q5p6c2egmdimd2kzknmkkov0t7g15g/177559x1.JPG
177557,//static.shop.kz/upload/iblock/141/mvtj4xr0x43qj7hyq1fh52u3frdea5z3/177557x1.jpg
158939+NXHS5ER00W14414A1D3400,//static.shop.kz/upload/iblock/8ed/8yw9z394okwv8eyu6fiafmpihmwo2bb3/158939_01dh.JPG
177441,//static.shop.kz/upload/iblock/411/m0wfqbaj1rm9sr8lklyw5va1mq8xjan0/177441o200o.JPG
177462,//static.shop.kz/upload/iblock/74a/shp8io3220nzm1rvwgdez73wzon0c2ay/177462x1.jpg
177228,//static.shop.kz/upload/iblock/c39/45nuwxk9eo1ljrpxt5uk5822ueh12ui3/177228o200o.JPG
177440,//static.shop.kz/upload/iblock/4a4/g3k83up1ohldzr0h9rqf992rmf18nf7z/177440o200o.jpg
177439,//static.shop.kz/upload/iblock/5eb/f947drbi3xd4klp16hp8sit9uyrmbdez/177439o200o.JPG
177438,//static.shop.kz/upload/iblock/706/aiiiks2pe32nd2tk1b8t0d285yz0efcs/177438x1.jpg
177436,//static.shop.kz/upload/iblock/fbc/p5gzfpztnd4cyfq57ergvgfn4op6dtyz/177436x1.JPG
176275,//static.shop.kz/upload/iblock/b78/jue11gyy8j7k7ega2iepjbmze05hh63j/176275x1.jpg
176881,//static.shop.kz/upload/iblock/a28/40fzn9s3y9jj03nuguasc5v603l6emuj/176881x1.jpg
177330,//static.shop.kz/upload/iblock/cd0/o0oj0om1a0zcwq2w4q9t2umi5pnb0tvj/177330x1.jpg
177230,//static.shop.kz/upload/iblock/9cc/6m2plnyx8qp3nyq49xykh53koidu80lf/177230x1.jpg
177387,//static.shop.kz/upload/iblock/462/kp6xoqg6twz617fftncbj3oadzts1puc/177387x1.jpg
177221,//static.shop.kz/upload/iblock/5ee/lkng30aiazwuch5w9t1ey6vddjg62gel/177221o200o.jpg
177224,//static.shop.kz/upload/iblock/8e4/vp2pukgs6n415hfcly3htu739zc9wghb/177224o200o.JPG
177225,//static.shop.kz/upload/iblock/bd2/jqkehxl1cwwe9dw5075i41vf5acqn70i/177225o200o.JPG
177232,//static.shop.kz/upload/iblock/f84/jxgotx37muy35huzgpduwrrfxps1ibb6/177232o200o.jpg
177226,//static.shop.kz/upload/iblock/0a6/au6qirkl6ihyw796p5jg1m1kjs8bg8kl/177226o200o.jpg
177231,//static.shop.kz/upload/iblock/391/237tpsw3q8xxupf49t6rn569lusfkj8i/177231x1.jpg
177227,//static.shop.kz/upload/iblock/959/ykq920s44y7s2asbq482wmh1gfcd3ms8/177227o200o.jpg
177229,//static.shop.kz/upload/iblock/cc0/3m6an0l2dudj4s996svdd2mh2io5ps3m/177229x1.jpg
177219,//static.shop.kz/upload/iblock/cc1/q883v1ijrh5lan96irj7h5dwnl3ig0fa/177219x1.jpg
177269,//static.shop.kz/upload/iblock/235/4k6omcu7z5oa0omr1va2a3evvyjbsuga/177269_Ideapad-1-15IAU7_01_1.jpg
177164,//static.shop.kz/upload/iblock/301/6ktbvgavjqt21erzb01ax5joslgbjn35/177164o200.jpg
177163,//static.shop.kz/upload/iblock/483/os9aj3m2zmc5yd2y0doeo5qb8ldjzzp6/177163o200o.jpg
177268,//static.shop.kz/upload/iblock/f2f/bsxwwlt0vxv3j9ci6qoyqp30bjoffjad/177268_Ideapad-1-15IAU7_01_1.jpg
177171,//static.shop.kz/upload/iblock/07a/05uhfi6douhsleka6d3duf9si4l7imor/177171o200o.JPG
177266,//static.shop.kz/upload/iblock/59b/4awb6e4k9os0hxg0nbmpp4i1j1a20qan/177266_Legion-Pro-7-16IRX9H_01_1.jpg
177170,//static.shop.kz/upload/iblock/54f/d08cuawi360i9m491pp755v4x0yl0uzr/177170o200o.JPG
177220,//static.shop.kz/upload/iblock/ce3/q10sq3t1s7yio9gpznzs113wup2gneue/177220x2.jpg
177222,//static.shop.kz/upload/iblock/05d/247o3g73myiuf5fvwio7j7nv4l9u23yb/177222x1.JPG
177165,//static.shop.kz/upload/iblock/c2c/ogc0a0p66ffinazpdj1bx2s9t18wfzkd/177165o200o.JPG
177168,//static.shop.kz/upload/iblock/50c/ukxwg6uk02h9zakaga687mxuq4e1etf5/177168o200o.JPG
177280,//static.shop.kz/upload/iblock/00b/1z6ideq6fzg13kcwcp3q4vofxbjdfanu/177280o200o.JPG
177223,//static.shop.kz/upload/iblock/219/a80l3sh5fjl3qp58sdwma4gzwj7id2en/177223x1.JPG
177167,//static.shop.kz/upload/iblock/13d/z9yq1hve7jdga9jw9a47qntrlqo90v8z/177167o200o.JPG
177267,//static.shop.kz/upload/iblock/0b4/2hemyxlndx0ikb9inlk9r0zhcsarpib6/177267_Legion-Pro-7-16IRX9H_01_1.jpg
177166,//static.shop.kz/upload/iblock/350/fasxe8on9203xitvexyqy86r7gxoflwn/177166o200o.JPG
177169,//static.shop.kz/upload/iblock/09d/xgrjkznsoy98c7hhjgu5zawdpi7t3w14/177169o200o.JPG
177218,//static.shop.kz/upload/iblock/40c/l8aesn10t6ns18qobhbod0xb1tzsur35/177218x2.jpg
177216,//static.shop.kz/upload/iblock/e0b/xf8qck3w2d8d2fu5tagrnq2xvl1nhjh5/177216x2.jpg
177217,//static.shop.kz/upload/iblock/60c/oiu61urmapqn4j9m8no3vco01n9rp9ay/177217x2.jpg
177270,//static.shop.kz/upload/iblock/779/h2qsicy69uu2ysbzgiqn30wgi2bnsb65/177270x1.JPG
177117,//static.shop.kz/upload/iblock/0cd/vfc0p2t7yprlbfn2p729jhp2otkc3l7a/177117x1.JPG
177119,//static.shop.kz/upload/iblock/b49/an2c3v2mmj1n21vqy8hi4ri61bb3ei7g/177119x1.JPG
177138,//static.shop.kz/upload/iblock/77d/1dlehx8bi887sxefyhmqzxluy7pbghts/177138x2.jpg
177137,//static.shop.kz/upload/iblock/3e9/zbxllfos86m7vy0cbknu12ic2kmj6ec9/177137x2.jpg
177116,//static.shop.kz/upload/iblock/e42/cnljozy0n0jeeupe5198ovh3fwc3sehz/177116x1.jpg
177118,//static.shop.kz/upload/iblock/340/fo72ar2kpjkn1zd7au9ec0d6v1yzy5d7/177118x2.JPG
158068+PF31SC0T,//static.shop.kz/upload/iblock/723/lsuo1lt5f5spmwygssqne3m713w630k0/158068_01ddcdffgf.jpg
163882+R1NRCX03U001027,//static.shop.kz/upload/iblock/1c1/3xug26hxr1lng5wj16wrvlb2ed2z98rc/163882_01ddeef.JPG
164495+NXEG8ER00Y2252599A3400,//static.shop.kz/upload/iblock/48d/2y0xlis2dqrnb4t7fihkjudigxblg9j1/200_164495_01ddm.jpg
176987,//static.shop.kz/upload/iblock/d00/844u4kjhso9pygexudhtdzny2xr1olab/176987x1.jpg
176990,//static.shop.kz/upload/iblock/864/7hcs5203718vxjn2vhk6ngup1uo2323l/176990x1.jpeg
176989,//static.shop.kz/upload/iblock/46f/t4cnx5ix8byp8v4n8529i8p5pl1ou54r/176989x1.jpeg
176984,//static.shop.kz/upload/iblock/aa6/b6433fkofteb3zvncc4jo8wotxixi7ai/176984x1.jpg
176979,//static.shop.kz/upload/iblock/6c1/3qwd2cpkbhm772jijfb9317g95sttd7a/176979x1.JPG
176951,//static.shop.kz/upload/iblock/6f5/6oxnejtfwj004cqy980oopklgssoassp/176951x1.jpg
176950,//static.shop.kz/upload/iblock/9ba/hyfulounzncszr8grrej7scdfnyfc40d/176950x1.jpg
176953,//static.shop.kz/upload/iblock/b69/4z2bgwjr5zjj639wm3istm560e7jj30l/176953x1.jpg
176949,//static.shop.kz/upload/iblock/998/q3hsg2pfgscuv340k2cj93rjs60lw444/176949x1.jpg
176983,//static.shop.kz/upload/iblock/d83/g4zlhmhg1g0r3l4w2wph6k1ylaag8e32/176983x1.jpg
176985,//static.shop.kz/upload/iblock/5ea/q4t76tniy2bivak6vu4kdefhx0b7jwtk/176985x1.jpg
