laptop id,title,old price,current price,Операционная система,Процессор,Интегрированная в процессор графика,"Объем оперативной памяти, ГБ",Жесткий диск,Твердотельный накопитель,"Диагональ экрана, дюйм",Разрешение экрана,"Вес, кг",image link,Внимание,Модель процессора,"Частота процессора, ГГц",Конфигурация оперативной памяти,Модель дискретной видеокарты,USB Type-C Power Delivery,Вес
172640,Acer Aspire 3 A315-58,282 990 ₸,269 990 ₸,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,8,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/bd0/e3by7sea2ed01wde0g7fw35cqabfw7gm/172640de.webp,Не забудьте купитьоперационную систему,1135G7,2.4,2 х 4 ГБ,,,
172642,Acer Aspire 3 A315-24P,209 990 ₸,179 900 ₸,Отсутствует,AMD Ryzen 3,AMD Radeon 610M,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.7,//static.shop.kz/upload/iblock/a70/3i2qzf69gxlrwppj0h2de6aowwjhtbuz/172642de.webp,Не забудьте купитьоперационную систему,7320U,2.4,1 х 8 ГБ,,Нет,
172648,Lenovo IdeaPad Slim 3 15ABR8,,,Отсутствует,AMD Ryzen 7,AMD Radeon Graphics,16,HDD нет,1 ТБ SSD,15.6,1920 x 1080 Full HD,1.62,//static.shop.kz/upload/iblock/707/15dj8m9lsxf2fi8a6rcbkkynn20izg92/172648a1.jpg,Не забудьте купитьоперационную систему,7730U,2.0,16 ГБ (распаяно на плате),,Да,
172645,Lenovo IdeaPad Slim 3 15AMN8,,,Отсутствует,AMD Ryzen 5,AMD Radeon 610M,8,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,1.62,//static.shop.kz/upload/iblock/3e4/f1218vpcw1yeini3gisvq7r1bobwsfik/171325o1.jpg,Не забудьте купитьоперационную систему,7520U,2.8,8 ГБ (распаяно на плате),,Да,
172649,Lenovo Legion Slim 5 16APH8,989 990 ₸,959 990 ₸,Отсутствует,AMD Ryzen 7,,32,HDD нет,1 ТБ SSD,16,2560 x 1600 WQXGA,2.4,//static.shop.kz/upload/iblock/55b/k4atpo4oq38nurtsmnak94slv3elnrzx/172649_16APH8_01_1.webp,Не забудьте купитьоперационную систему,7840HS,3.8,16 ГБ + 16 ГБ (распаяно на плате),GeForce RTX 4070,,
172647,Lenovo IdeaPad 3 15IAU7,,,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,16,HDD нет,256 ГБ SSD,15.6,1920 x 1080 Full HD,1.6,//static.shop.kz/upload/iblock/d33/ivt20z27ywezwb0som9j37bt6sm633t9/172647a1.jpg,Не забудьте купитьоперационную систему,1235U,1.3,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172646,Lenovo IdeaPad 3 15ALC6,,,Windows 11 Home (x64) SL,AMD Ryzen 3,AMD Radeon Vega 6,8,1 ТБ HDD,,15.6,1920 x 1080 Full HD,1.65,//static.shop.kz/upload/iblock/a21/cvib4201qt4yan945hwkvfvoch4d89cr/172646_Legion-Slim-5_01_1.webp,,5300U,2.6,4 ГБ + 4 ГБ (распаяно на плате),,,
172515,Acer Predator Helios Neo 16 PHN16-71,669 990 ₸,649 990 ₸,Отсутствует,Intel Core i5,Intel UHD Graphics,16,HDD нет,512 ГБ SSD,16,1920 x 1200 WUXGA,2.6,//static.shop.kz/upload/iblock/d45/gig64g4btxv6052ix03gfxlxtbxlqtzo/172515x1.JPG,Не забудьте купитьоперационную систему,13500HX,2.5,2 х 8 ГБ,GeForce RTX 4050,,
172448,HP Omen 16-wd0009ci,499 990 ₸,489 990 ₸,Отсутствует,Intel Core i5,Intel UHD Graphics,16,HDD нет,512 ГБ SSD,16.1,1920 x 1080 Full HD,2.4,//static.shop.kz/upload/iblock/235/jknyr0wdmgesz4th4t2phee3bvwr0h0g/172448x1.jpg,Не забудьте купитьоперационную систему,13420H,2.1,2 х 8 ГБ,GeForce RTX 4050,,
172527,ASUS ROG Strix G18 G814JI,,,Windows 11 Home (x64),Intel Core i9,Intel UHD Graphics,16,HDD нет,1 ТБ SSD,18,2560 x 1600 WQXGA,3,//static.shop.kz/upload/iblock/0fc/vfutihqxzrgyktwz25dmxiyf2irrydsy/172527x1.jpg,,13980HX,2.2,2 х 8 ГБ,GeForce RTX 4070,Да,
172514,Acer Nitro 5 AN515-58,519 990 ₸,499 990 ₸,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,2.5,//static.shop.kz/upload/iblock/077/ymr5tuc4mmkahr8mrqn4ztijjy3g2qsp/172514x1.jpg,Не забудьте купитьоперационную систему,12500H,2.5,1 х 16 ГБ,GeForce RTX 4050,,
172496,Acer Nitro 5 AN515-58,779 990 ₸,749 990 ₸,Отсутствует,Intel Core i9,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,15.6,1920 x 1080 Full HD,2.5,//static.shop.kz/upload/iblock/dec/d9aa16rp71p5jz7jt3ii5jm1mtol62jk/172496x1.jpg,Не забудьте купитьоперационную систему,12900H,2.5,1 х 16 ГБ,GeForce RTX 4060,,
172528,"ASUS Zenbook Pro 16X UX7602VI, OLED",1 799 990 ₸,1 694 990 ₸,Windows 11 Pro (x64),Intel Core i9,Intel Iris Xe Graphics,32,HDD нет,2 ТБ SSD,16,3200 x 2000,2.4,//static.shop.kz/upload/iblock/aed/njutro2d2cz7ctcm4h30t2msj2l4bg2y/172528xo1.jpg,,13900H,2.6,32 ГБ (распаяно на плате),GeForce RTX 4070,Да,
171234,ASUS ROG Flow X16 GV601VI,,,Windows 11 Home (x64),Intel Core i9,Intel Iris Xe Graphics,32,HDD нет,1 ТБ SSD,16,2560 x 1600 WQXGA,2.2,//static.shop.kz/upload/iblock/d00/orv27dde9gwul28knhmnv5vmivv8cmpa/171234x1.jpg,,13900H,2.6,2 х 16 ГБ,GeForce RTX 4070,Да,
172147,"ASUS ExpertBook B5 B5602CBA, OLED",,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,16,3840 x 2400 Ultra HD+,1.5,//static.shop.kz/upload/iblock/4a0/meoc1rnjhxr6y5pfnco0aktukwizpacz/172147x1.jpg,,1260P,2.1,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172024,"ASUS Vivobook 15X K3504VA, OLED",364 990 ₸,359 990 ₸,Отсутствует,Intel Core i5,Intel Iris Xe Graphics,16,HDD нет,512 ГБ SSD,15.6,2880 x 1620,1.6,//static.shop.kz/upload/iblock/775/0s6kj90wf8z7ag10cbawmwtzi7kk0hy1/172024xo1.jpg,Не забудьте купитьоперационную систему,1340P,1.9,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172273,HP Victus 15-fa0065ci,399 990 ₸,376 990 ₸,Отсутствует,Intel Core i5,Intel UHD Graphics,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,2.29,//static.shop.kz/upload/iblock/334/po01vacsdgf37qpxwo2fulvu0ikw41zs/172273_15_fa0065ci_200_200_1.jpg,Не забудьте купитьоперационную систему,12450H,2.0,2 х 8 ГБ,GeForce RTX 3050,,
172046,Lenovo Legion Pro 7 16IRX8,,,Отсутствует,Intel Core i9,Intel UHD Graphics,32,HDD нет,1 ТБ SSD,16,2560 x 1600 WQXGA,2.4,//static.shop.kz/upload/iblock/fa3/ojktqm6lri09hzf1pnyl83rienrb3f8u/1.jpg,Не забудьте купитьоперационную систему,13900HX,2.2,2 х 16 ГБ,GeForce RTX 4070,Да,
172030,ASUS Vivobook 16X M3604YA,319 990 ₸,304 990 ₸,Отсутствует,AMD Ryzen 7,AMD Radeon Graphics,16,HDD нет,512 ГБ SSD,16,1920 x 1200 WUXGA,1.76,//static.shop.kz/upload/iblock/77d/4lzxfsihlhphaxgcgplk0l4vaccmlgad/172030x1.jpg,Не забудьте купитьоперационную систему,7730U,2.0,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172027,ASUS Vivobook 16 M1605YA,,,Отсутствует,AMD Ryzen 5,AMD Radeon Graphics,8,HDD нет,512 ГБ SSD,16,1920 x 1200 WUXGA,1.88,//static.shop.kz/upload/iblock/a1e/6ohgpq291ew346kbptcj8xljuwxyg56o/172027x1.jpg,Не забудьте купитьоперационную систему,7530U,2.0,8 ГБ (распаяно на плате),,Да,
172105,ASUS ExpertBook B5 Flip B5402FBA,,,Windows 11 Pro (x64),Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,14,1920 x 1080 Full HD,1.4,//static.shop.kz/upload/iblock/8f0/zpy5p2vibiosoqk9mcwym1nglwq98qio/172105x1.jpg,,1260P,2.1,8 ГБ + 8 ГБ (распаяно на плате),,Да,
172142,ASUS TUF Gaming F15 FX507ZU4,599 990 ₸,579 990 ₸,Отсутствует,Intel Core i7,Intel Iris Xe Graphics,16,HDD нет,1 ТБ SSD,15.6,1920 x 1080 Full HD,2.2,//static.shop.kz/upload/iblock/9ad/9k7enu4gfpy0089zh1k92as1wo18j756/172142x1.jpg,Не забудьте купитьоперационную систему,12700H,2.3,2 х 8 ГБ,GeForce RTX 4050,Да,
172032,ASUS TUF Gaming F17 FX706HF,,,Отсутствует,Intel Core i5,Intel UHD Graphics,16,HDD нет,512 ГБ SSD,17.3,1920 x 1080 Full HD,2.6,//static.shop.kz/upload/iblock/bf9/4lcx5ce3jixrys84prh4yj6m38gloj4v/172032x1.jpg,Не забудьте купитьоперационную систему,11400H,2.7,2 х 8 ГБ,GeForce RTX 2050,,
172034,ASUS TUF Gaming A15 FA507NV,639 990 ₸,599 990 ₸,Отсутствует,AMD Ryzen 7,AMD Radeon 680M,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,2.2,//static.shop.kz/upload/iblock/aa4/eierg05y9ifexon7cdqwrrsxxm8cxj3y/172034x1.jpg,Не забудьте купитьоперационную систему,7735HS,3.2,2 х 8 ГБ,GeForce RTX 4060,Да,
172035,ASUS TUF Gaming A15 FA507XI,,,Отсутствует,AMD Ryzen 9,AMD Radeon 780M,16,HDD нет,512 ГБ SSD,15.6,2560 x 1440 QHD,2.2,//static.shop.kz/upload/iblock/ec9/n3fdd7wp5zshot8ruasl39nxj4b0s5r8/172035x1.jpg,Не забудьте купитьоперационную систему,7940HS,4.0,2 х 8 ГБ,GeForce RTX 4070,Да,
172043,Lenovo LOQ 15IRH8,,,Отсутствует,Intel Core i7,,16,HDD нет,512 ГБ SSD,15.6,1920 x 1080 Full HD,2,//static.shop.kz/upload/iblock/bb0/piaw557fw4udliq8ga21qq0b19k66r53/172043_LOQ-15IRH8_200_200_1.jpg,Не забудьте купитьоперационную систему,13620H,2.4,2 х 8 ГБ,GeForce RTX 4060,Да,
