laptop_id,brand,model,old_price,current_price,discount_rate_percent,operational_system,graphics_type,integrated_graphics,gpu,cpu_brand,cpu_model,cpu_frequency,ram,memory_type,hdd_capacity,ssd_capacity,display_diagonal,resolution,video_standard,weight
165814,HP,15s-fq5044ci,,,,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.5
166033,ASUS,"Vivobook 15X X1503ZA, OLED",,,,Windows 11 Home (x64),Integrated,Intel UHD Graphics,No,Intel,Core i3,1.1,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
166034,ASUS,X515EA,,,,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,3.0,8,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.66
165818,HP,15s-fq5045ci,,,,Windows 11 Home (x64) SL,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,1.3,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.5
165872,ASUS,P1412CEA,,,,Windows 11 Pro (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.8,16,SSD,0.0,512.0,14.0,1920 x 1080,Full HD,1.4
165874,ASUS,P1512CEA,,,,Windows 11 Pro (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.8,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
165807,MSI,Vector GP66 12UHSO,,,,Windows 11 Home (x64),Both,Intel Iris Xe Graphics,GeForce RTX 3080 Ti,Intel,Core i9,2.5,32,SSD,0.0,1024.0,15.6,2560 x 1440,QHD,2.3
165873,ASUS,P1512CEA,,,,Windows 11 Home (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,2.4,8,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.6
165806,MSI,Vector GP76HX 12UHS,,,,Windows 11 Home (x64),Both,Intel UHD Graphics,GeForce RTX 3080 Ti,Intel,Core i9,2.3,32,SSD,0.0,1024.0,17.3,2560 x 1440,QHD,2.9
165753,HP,Victus 16-d1039ci,739990.0,699900.0,5.42,DOS,Both,Intel Iris Xe Graphics,GeForce RTX 3060,Intel,Core i7,2.3,16,SSD,0.0,1024.0,16.1,1920 x 1080,Full HD,2.4
165868,ASUS,ExpertBook B1 B1400CEAE,,,,DOS,Integrated,Intel Iris Xe Graphics,No,Intel,Core i5,2.4,8,SSD,0.0,512.0,14.0,1920 x 1080,Full HD,1.4
165823,HP,Victus 16-e0008ur,,,,DOS,Both,AMD Radeon Graphics,GeForce RTX 3060,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.1,1920 x 1080,Full HD,2.4
165752,HP,Victus 16-e1067ci,,,,DOS,Both,AMD Radeon Graphics,GeForce RTX 3050 Ti,AMD,Ryzen 5,3.3,16,SSD,0.0,512.0,16.1,1920 x 1080,Full HD,2.4
165883,Acer,Aspire 3 A315-56,,,,DOS,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,4,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
165884,Acer,Aspire 3 A315-56,239990.0,229900.0,4.2,Windows 11 Home (x64) SL,Integrated,Intel UHD Graphics,No,Intel,Core i3,1.2,4,SSD,0.0,256.0,15.6,1920 x 1080,Full HD,1.6
165722,Razer,Blade 17,,,,Windows 11 Home (x64),Both,Intel Iris Xe Graphics,GeForce RTX 3060,Intel,Core i7,1.8,16,SSD,0.0,1024.0,17.3,2560 x 1440,QHD,2.5
165721,Razer,Blade 15 Advanced Model,,,,Windows 11 Home (x64),Both,Intel Iris Xe Graphics,GeForce RTX 3060,Intel,Core i7,1.8,16,SSD,0.0,1024.0,15.6,2560 x 1440,QHD,2.1
165720,Razer,Blade 15 Base Model,,,,Windows 10 Home (x64),Both,Intel UHD Graphics,GeForce RTX 3060,Intel,Core i7,2.3,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,2.0
165870,ASUS,ExpertBook B1 B1500CEAE,,,,Windows 11 Pro (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.8,16,SSD,0.0,512.0,15.6,1920 x 1080,Full HD,1.7
165869,ASUS,ExpertBook B1 B1500CEAE,,,,Windows 11 Pro (x64),Integrated,Intel Iris Xe Graphics,No,Intel,Core i7,2.8,8,SSD,0.0,1024.0,15.6,1920 x 1080,Full HD,1.7
